What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Other,UK,Canada,USA,01-09-21,No,,Student,,2000,No,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,no one,0
Postgraduate,,,Engineering,Canada,Australia,,01-09-21,No,,Student,,1997,No,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,None yet.,0
Vocational,,,Business & Economics,Canada,Australia,,01-09-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,No,None yet.,0
Undergraduate,,,Engineering,USA,,,01-01-21,Yes,No,Student,,2002,No,No,,Not provided,Other,In-Service,No,,,Yes,None yet.,0
Postgraduate,,,Other,Australia,,,01-09-21,No,,Student,,2000,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-01-21,No,,Student,,2000,No,Yes,< 5 ,10 lakhs or under,Parents asset,In-Service,No,,,No,He had a word with UK UNIVERSTIES regarding his higher studies in aborad,0
Vocational,,,Computer Science and Information Technology,Canada,UK,USA,01-09-21,No,,Student,,2000,No,No,,10 lakhs or under,Bank loan,Own business,No,,,No,None yet.,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,30 lakhs and over,Bank loan,Own business,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,USA,New Zealand,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1997,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,"Yocket, ubergrad and eduins 
",0
Postgraduate,,,Other,USA,Canada,,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,1
Undergraduate,,,Law/legal studies,UK,,,01-09-21,No,,Student,,2003,Yes,No,,30 lakhs and over,Bank loan,Own business,No,,,No,,0
Postgraduate,,,Sciences,UK,,,01-09-21,Yes,No,Working professional,< 1 year of work exp,1993,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None yet.,0
Postgraduate,,,Engineering,Canada,,,01-05-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Other,Canada,,,01-05-21,Yes,No,Student,,2001,No,No,,30 lakhs and over,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Other,UK,,,01-01-21,Yes,No,Student,,2000,No,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Sciences,Canada,UK,USA,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,Only in touch with IDP,0
Postgraduate,,,Other,UK,,,01-09-21,Yes,No,Student,,1999,Yes,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Other,Canada,,,01-01-21,No,,Student,,2002,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,None yet.,0
Postgraduate,,,Engineering,New Zealand,Australia,UK,01-09-21,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Other,Ireland,,,01-09-21,Yes,No,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,Australia,USA,01-01-22,Yes,No,Student,,1997,No,Yes,< 5 ,30 lakhs and over,Bank loan,In-Service,No,,,Yes,Also in touch with abhinav consultants,0
Undergraduate,,,Visual and Performing arts,Australia,,,01-01-21,Yes,No,Student,,2002,Yes,No,,30 lakhs and over,Bank loan,In-Service,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Australia,UK,New Zealand,01-09-21,No,,Student,,2004,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Computer Science and Information Technology,Australia,Canada,,01-01-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,Yes,< 5 ,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,None yet.,0
Postgraduate,,,Business & Economics,Canada,,,01-09-21,No,,Student,,1996,No,Yes,< 5 ,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Business & Economics,Canada,USA,,01-09-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,Own business,No,,,No,None yet.,0
Undergraduate,,,Business & Economics,Canada,,,01-05-21,No,,Working professional,1 - 3 years of work exp,2000,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Sciences,Canada,Australia,,01-01-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,6.5,Yes,None yet.,1
Postgraduate,,,Computer Science and Information Technology,USA,,,01-09-22,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,None yet.,0
Vocational,,,Other,Canada,Canada,Canada,01-01-21,Yes,No,Student,,2001,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,Also in touch with santamonica consultants,0
Undergraduate,,,Law/legal studies,Canada,,,01-01-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,Canada,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,10 lakhs or under,Other,Own business,No,,,Yes,onboarding consultancy,0
Postgraduate,,,Other,Canada,,,01-09-21,No,,Working professional,< 1 year of work exp,1996,Yes,No,,Not provided,Parents asset,Own business,No,,,No,None yet.,0
Postgraduate,,,Other,UK,,,01-09-21,Yes,No,Student,,1997,Yes,No,,30 lakhs and over,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,Other,Ireland,USA,,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Bank loan,Own business,Yes,IELTS,7,No,Not yet.,0
Undergraduate,,,Psychology,Ireland,New Zealand,New Zealand,01-09-21,No,,Working professional,4 - 6 years of work exp,1990,Yes,No,,Not provided,Self funding,Not provided,No,,,No,None,0
Undergraduate,,,Business & Economics,Canada,,,01-01-21,No,,Student,,2002,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,None yet.,0
Postgraduate,,,Business & Economics,UK,Canada,Ireland,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,None,0
Vocational,,,Other,Canada,,,01-05-21,Yes,No,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Engineering,Canada,,,01-09-21,No,,Student,,2004,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Engineering,Australia,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Bank loan,Own business,Yes,IELTS,6,No,None yet.,0
Undergraduate,,,Other,Canada,,,01-01-21,No,,Student,,2002,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Vocational,,,Business & Economics,Canada,Australia,New Zealand,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,7,No,Not yet.,1
Postgraduate,,,Engineering,Canada,,,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1997,No,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,Not provided,No,,,No,,1
Undergraduate,,,Other,Australia,,,01-01-21,No,,Student,,2003,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,1
Postgraduate,,,Psychology,Canada,,,01-01-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-22,No,,Student,,2001,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Engineering,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1990,Yes,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 - 20 lakhs,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Clinical Research,USA,,,01-09-21,Yes,No,Student,,1997,Yes,No,,10 - 20 lakhs,Bank loan,Own business,No,,,No,,0
Postgraduate,,,Engineering,UK,Canada,USA,01-01-21,No,,Working professional,4 - 6 years of work exp,1991,No,Yes,> 10,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,None yet.,0
Postgraduate,,,Business & Economics,USA,Ireland,UK,01-09-21,No,,Student,,1998,Yes,Yes,06-Oct,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,HR Management ,Canada,,,01-01-21,No,,Working professional,7+ years of work exp,1987,Yes,Yes,< 5 ,10 - 20 lakhs,Self funding,Not provided,No,,,Yes,,0
Postgraduate,,,Engineering,USA,,,01-01-21,Yes,No,Working professional,4 - 6 years of work exp,1992,Yes,No,,20 - 30 lakhs,Sponsorship by relatives,Own business,No,,,Yes,Some local consultants.,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,Ireland,01-09-21,No,,Student,,1999,No,No,,Not provided,Not provided,In-Service,No,,,Yes,none,1
Postgraduate,,,Environmental Studies,UK,,,01-09-21,No,,Student,,2000,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Hospital Management,UK,USA,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,No,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,No,Google Reach.,0
Postgraduate,,,Other,UK,Canada,Australia,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 lakhs or under,Bank loan,In-Service,No,,,No,hope consultant,0
Vocational,,,Hotel Management ,Canada,,,01-01-21,No,,Student,,2000,No,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,USA,Canada,Canada,01-01-21,No,,Student,,1998,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,None,0
Vocational,,,Business & Economics,Canada,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,Yes,> 10,Not provided,Not provided,Not provided,No,,,Yes,none,0
Postgraduate,,,Agribusiness ,Australia,,,01-09-21,No,,Student,,1997,Yes,Yes,06-Oct,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,Canada,UK,USA,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Not provided,In-Service,No,,,No,none,0
Undergraduate,,,Business & Economics,UK,,,01-09-21,No,,Student,,2002,No,No,,10 lakhs or under,Combined self /parent funding and bank loan,In-Service,No,,,No,None yet.,0
Postgraduate,,,Business & Economics,Canada,UK,,01-09-21,No,,Student,,1998,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,In-Service,No,,,Yes,None yet.,0
Vocational,,,Business & Economics,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,No,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,none,0
Vocational,,,Business & Economics,Canada,,,01-01-21,No,,Student,,2001,Yes,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,No,,1
Postgraduate,,,Engineering,USA,,,01-09-21,Yes,No,Student,,1999,Yes,No,,Not provided,Bank loan,Own business,No,,,Yes,None yet.,0
Postgraduate,,,Finance,UK,,,01-01-21,Yes,No,Student,,1998,No,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,Canada,New Zealand,01-01-21,Yes,No,Working professional,7+ years of work exp,1984,Yes,No,,Not provided,Parents asset,Not provided,No,,,Yes,Took details from husband and he is not aware with their names,0
Undergraduate,,,Nursing,Australia,,,01-09-21,No,,Student,,2003,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Engineering,USA,,,01-09-21,No,,Student,,2003,No,No,,30 lakhs and over,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Engineering,USA,Canada,,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,Yes,GRE,294,Yes,Local Consultant.,1
Undergraduate,,,Engineering,USA,UK,Canada,01-01-21,Yes,Yes,Student,,2001,Yes,No,,Not provided,Other,In-Service,No,,,Yes,none,0
Vocational,,,Computer Science and Information Technology,USA,Australia,UK,01-09-21,No,,Student,,1994,No,Yes,< 5 ,Not provided,Not provided,In-Service,No,,,No,none,0
Postgraduate,,,Business & Economics,UK,,,01-09-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Business & Economics,UK,Canada,USA,01-01-21,No,,Student,,2002,No,No,,Not provided,Other,In-Service,No,,,No,Levrage.edu,0
Undergraduate,,,Law/legal studies,Australia,,,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Not provided,In-Service,No,,,Yes,nine,0
Vocational,,,Pilot ,New Zealand,,,01-09-21,Yes,No,Student,,2003,Yes,No,,30 lakhs and over,Parents asset,Own business,No,,,No,,0
Vocational,,,Other,Australia,Canada,Canada,01-01-21,No,,Student,,1994,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,None,0
Vocational,,,Engineering,Canada,,,01-05-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Nutrition ,Canada,,,01-05-21,No,,Student,,1995,Yes,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,,0
Vocational,,,Business & Economics,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1983,Yes,No,,10 lakhs or under,Not provided,Not provided,No,,,Yes,NONE,0
Postgraduate,,,Engineering,Canada,USA,,01-01-21,No,,Student,,1998,No,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,None yet.,0
Postgraduate,,,Business & Economics,Canada,,,01-09-21,No,,Working professional,< 1 year of work exp,1997,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Physiotherapy,Canada,UK,,01-09-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,None yet.,0
Vocational,,,Finance ,Canada,,,01-05-21,No,,Working professional,7+ years of work exp,1989,Yes,No,,10 lakhs or under,Self funding,Not provided,No,,,Yes,,0
Postgraduate,,,Computer,Australia,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1985,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,None yet.,0
Undergraduate,,,Law/legal studies,UK,,,01-01-21,Yes,No,Student,,2002,Yes,No,,Not provided,Not provided,In-Service,No,,,Yes,none,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,,01-01-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Architecture & Built Environment Studies,UK,Australia,USA,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Not provided,In-Service,No,,,Yes,none,0
Undergraduate,,,Not decided,UK,,,01-09-21,No,,Student,,2003,No,No,,Not provided,Bank loan,In-Service,No,,,Yes,None yet.,0
Postgraduate,,,Computer Science and Information Technology,UK,Australia,USA,01-01-21,No,,Working professional,1 - 3 years of work exp,1991,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Pharmacy,UK,,,01-09-21,No,,Student,,1998,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,Canada,,01-09-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,Yes,< 5 ,Not provided,Bank loan,In-Service,No,,,No,Local Consultants.,0
Postgraduate,,,Other,UK,,,01-09-21,No,,Student,,1999,No,No,,20 - 30 lakhs,Not provided,In-Service,No,,,No,None,0
Postgraduate,,,Finance,UK,Ireland,Ireland,01-01-21,No,,Working professional,4 - 6 years of work exp,1990,Yes,No,,Not provided,Bank loan,In-Service,No,,,Yes,not remember,0
Postgraduate,,,Engineering,Canada,,,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1997,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Business Management ,UK,,,01-09-21,No,,Student,,1998,Yes,Yes,< 5 ,30 lakhs and over,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Psychology,Canada,Canada,Canada,01-09-21,Yes,No,Student,,2002,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,"none
",0
Postgraduate,,,Business & Economics,UK,,,01-01-22,Yes,No,Working professional,1 - 3 years of work exp,1998,No,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,No,,0
Vocational,,,Computer Science and Information Technology,UK,,,01-09-21,No,,Student,,2002,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,In-Service,No,,,Yes,none,0
Postgraduate,,,business management ,UK,,,01-09-21,No,,Student,,1998,Yes,No,,30 lakhs and over,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Media & Communications,UK,Canada,USA,01-09-21,No,,Student,,2002,No,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Business & Economics,UK,,,01-01-21,No,,Student,,1996,Yes,No,,10 lakhs or under,Self funding,Own business,No,,,No,,0
Postgraduate,,,Other,UK,Canada,USA,01-01-21,Yes,No,Student,,1997,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Business & Economics,UK,,,01-01-21,No,,Student,,1993,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Law/legal studies,UK,Canada,Australia,01-01-21,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,None,0
Undergraduate,,,Hospitality,USA,UK,Canada,01-09-21,Yes,No,Student,,2002,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Engineering,USA,,,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1994,Yes,No,,20 - 30 lakhs,Bank loan,In-Service,Yes,TOEFL,106,Yes,None yet.,0
Postgraduate,,,Hotel Management ,Australia,,,01-07-21,No,,Student,,1998,Yes,No,,20 - 30 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Health Care,Ireland,,,01-09-22,No,,Student,,1997,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,Australia,UK,01-09-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Environmental Studies,Canada,Ireland,UK,01-09-21,No,,Working professional,< 1 year of work exp,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,None yet.,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,1
Postgraduate,,,Computer Science and Information Technology,Canada,Canada,,01-09-21,No,,Student,,2000,Yes,Yes,< 5 ,Not provided,Not provided,Own business,No,,,No,None,0
Postgraduate,,,Business & Economics,Canada,New Zealand,UK,01-01-21,No,,Student,,1997,Yes,Yes,< 5 ,30 lakhs and over,Combined self /parent funding and bank loan,Own business,Yes,IELTS,8,No,,0
Postgraduate,,,Engineering,Ireland,Canada,New Zealand,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1994,No,Yes,< 5 ,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,None yet.,0
Postgraduate,,,Pharmacy,UK,Canada,Australia,01-09-21,No,,Student,,1997,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,yes,0
Postgraduate,,,Media & Communications,USA,,,01-09-21,No,,Student,,1998,No,No,,Not provided,Bank loan,In-Service,No,,,No,,0
Postgraduate,,,Aviation,Canada,USA,,01-01-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Not provided,In-Service,No,,,Yes,none,0
Undergraduate,,,Languages,USA,UK,Canada,01-01-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,none,0
Postgraduate,,,Engineering,USA,Canada,,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1998,Yes,No,,30 lakhs and over,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,8,Yes,None yet.,1
Vocational,,,Engineering,Australia,New Zealand,,01-01-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,Own business,Yes,IELTS,6,Yes,,0
Postgraduate,,,Business & Economics,UK,Canada,Australia,01-01-21,No,,Student,,1997,No,Yes,06-Oct,20 - 30 lakhs,Bank loan,In-Service,No,,,Yes,none,0
Postgraduate,,,Psychology,Australia,New Zealand,,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,8.5,Yes,,1
Postgraduate,,,Engineering,New Zealand,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Not provided,In-Service,No,,,No,none,1
Postgraduate,,,Construction Management,Canada,UK,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Undergraduate,,,Engineering,Australia,New Zealand,,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Not provided,Not provided,No,,,Yes,none,0
Postgraduate,,,Computer Science and Information Technology,Australia,,,01-07-21,No,,Student,,1998,Yes,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,management ,Canada,,,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1995,Yes,Yes,< 5 ,30 lakhs and over,Self funding,In-Service,No,,,No,none,0
Vocational,,,Hotel Management,Canada,UK,,01-01-21,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,6,No,,1
Postgraduate,,,Arts,Canada,,,01-01-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,MBA,Canada,USA,,01-09-21,No,,Student,,1998,No,No,,Not provided,Other,In-Service,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,UK,Ireland,,01-09-21,Yes,No,Student,,1999,No,No,,20 - 30 lakhs,Bank loan,Not provided,No,,,No,None,0
Postgraduate,,,Engineering,UK,Canada,,01-01-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
